scenario_id,task_id,time_range,moving_object,sweep_region,checked_against,collision_risk,status,notes
forced_category_A_full,TASK-7B1-011,segment_duration_s=0.933,gripper_tcp_and_tube_proxy,"x[-215.0,0.0] y[-120.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-011,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-011,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-011,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-011,segment_duration_s=1.414,gripper_tcp_and_tube_proxy,"x[0.0,380.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-011,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[380.0,380.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-011,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[380.0,380.0] y[-170.0,-170.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-011,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[380.0,380.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.842,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-120.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-120.0,-120.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-120.0,-120.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-120.0,-120.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.874,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-120.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-012,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.858,gripper_tcp_and_tube_proxy,"x[0.0,230.0] y[10.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[230.0,230.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[230.0,230.0] y[10.0,10.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-012,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[230.0,230.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.727,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-120.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-120.0,-120.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-120.0,-120.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-120.0,-120.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.766,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-120.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-013,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-013,segment_duration_s=1.543,gripper_tcp_and_tube_proxy,"x[-395.0,0.0] y[20.0,275.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[-395.0,-395.0] y[275.0,275.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[-395.0,-395.0] y[275.0,275.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-013,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[-395.0,-395.0] y[275.0,275.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.675,gripper_tcp_and_tube_proxy,"x[-115.0,0.0] y[-120.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-115.0,-115.0] y[-120.0,-120.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-115.0,-115.0] y[-120.0,-120.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-115.0,-115.0] y[-120.0,-120.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.718,gripper_tcp_and_tube_proxy,"x[-115.0,0.0] y[-120.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-014,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-014,segment_duration_s=1.286,gripper_tcp_and_tube_proxy,"x[0.0,380.0] y[10.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[380.0,380.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[380.0,380.0] y[10.0,10.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-014,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[380.0,380.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.807,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-95.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-95.0,-95.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-95.0,-95.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-95.0,-95.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.835,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-95.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-016,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-016,segment_duration_s=1.478,gripper_tcp_and_tube_proxy,"x[0.0,405.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[405.0,405.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[405.0,405.0] y[-170.0,-170.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-016,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[405.0,405.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.744,gripper_tcp_and_tube_proxy,"x[-165.0,0.0] y[-95.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-165.0,-165.0] y[-95.0,-95.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-165.0,-165.0] y[-95.0,-95.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-165.0,-165.0] y[-95.0,-95.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.775,gripper_tcp_and_tube_proxy,"x[-165.0,0.0] y[-95.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-017,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.929,gripper_tcp_and_tube_proxy,"x[0.0,255.0] y[10.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[255.0,255.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[255.0,255.0] y[10.0,10.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-017,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[255.0,255.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.683,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-95.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-95.0,-95.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-95.0,-95.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-95.0,-95.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.718,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-95.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-018,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-018,segment_duration_s=1.357,gripper_tcp_and_tube_proxy,"x[0.0,405.0] y[10.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[405.0,405.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[405.0,405.0] y[10.0,10.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-018,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[405.0,405.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.696,gripper_tcp_and_tube_proxy,"x[-35.0,0.0] y[-170.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-35.0,-35.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-35.0,-35.0] y[-170.0,-170.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-35.0,-35.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.752,gripper_tcp_and_tube_proxy,"x[-35.0,0.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-020,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-020,segment_duration_s=1.543,gripper_tcp_and_tube_proxy,"x[0.0,430.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[430.0,430.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[430.0,430.0] y[-170.0,-170.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-020,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[430.0,430.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-021,segment_duration_s=0.687,gripper_tcp_and_tube_proxy,"x[-10.0,0.0] y[-170.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-021,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-10.0,-10.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-021,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-10.0,-10.0] y[-170.0,-170.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-021,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-10.0,-10.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-021,segment_duration_s=0.744,gripper_tcp_and_tube_proxy,"x[-10.0,0.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
forced_category_A_full,TASK-7B1-021,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
forced_category_A_full,TASK-7B1-021,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
forced_category_A_full,TASK-7B1-021,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
